name	section	chapter	status	how	summary	detail
B.1.a	B.1	B. Insert and Delete Action Patterns for Data Mutations	pass	values	Prepend Element Copy	1 quoted value(s) found
B.2.a	B.2	B. Insert and Delete Action Patterns for Data Mutations	pass	values	Append Element Copy	1 quoted value(s) found
B.3.a	B.3	B. Insert and Delete Action Patterns for Data Mutations	review	-	Duplicate Element	nothing auto-checkable
B.4.a	B.4	B. Insert and Delete Action Patterns for Data Mutations	pass	values	Set Attribute	1 quoted value(s) found
B.5.a	B.5	B. Insert and Delete Action Patterns for Data Mutations	pass	values	Remove Element	1 quoted value(s) found
B.6.a	B.6	B. Insert and Delete Action Patterns for Data Mutations	check	-	Remove Attribute	unmatched: classified | dump: group '      b.6.a Remove Attribute     '; group '      You must not see the string "classified" after key '23' :      '; repeat; output 'key : ' = 23 
B.7.a	B.7	B. Insert and Delete Action Patterns for Data Mutations	review	-	Remove Nodeset	nothing auto-checkable
B.8.a	B.8	B. Insert and Delete Action Patterns for Data Mutations	pass	values	Copy Nodeset	3 quoted value(s) found
B.9.a	B.9	B. Insert and Delete Action Patterns for Data Mutations	pass	values	Copy Attribute List	1 quoted value(s) found
B.10.a	B.10	B. Insert and Delete Action Patterns for Data Mutations	review	-	Replace Element	nothing auto-checkable
B.11.a	B.11	B. Insert and Delete Action Patterns for Data Mutations	review	-	Replace Attribute	nothing auto-checkable
B.12.a	B.12	B. Insert and Delete Action Patterns for Data Mutations	check	-	Replace Instance with Insert	unmatched: SKU-0815 / SKU-4711 | dump: group '      b.12.a Replace Instance with Insert     '; group '      You must not see item product ("SKU-0815") or item product ("SKU-4711")  :      '; repeat [hidden]
B.13.a	B.13	B. Insert and Delete Action Patterns for Data Mutations	pass	values	Move Element	3 quoted value(s) found
B.14.a	B.14	B. Insert and Delete Action Patterns for Data Mutations	pass	values	Move Attribute	1 quoted value(s) found
B.15.a	B.15	B. Insert and Delete Action Patterns for Data Mutations	review	-	Insert Element into Non-Contiguous, Heterogeneous Nodeset	nothing auto-checkable
G.1.a	G.1	G. XForms and Styling	review	-	enabled and disabled pseudo-classes	nothing auto-checkable
G.1.b	G.1	G. XForms and Styling	review	-	required and optional pseudo-classes	nothing auto-checkable
G.1.c	G.1	G. XForms and Styling	review	-	valid and invalid pseudo-classes	nothing auto-checkable
G.1.d	G.1	G. XForms and Styling	review	-	read-only and read-write pseudo-classes	nothing auto-checkable
G.1.e	G.1	G. XForms and Styling	review	-	out-of-range and in-range pseudo-classes	nothing auto-checkable
G.2.a	G.2	G. XForms and Styling	review	-	value pseudo-element	nothing auto-checkable
G.2.b	G.2	G. XForms and Styling	review	-	repeat-item pseudo-element	nothing auto-checkable
G.2.c	G.2	G. XForms and Styling	review	-	repeat-index pseudo-element	nothing auto-checkable
G.2.d	G.2	G. XForms and Styling	review	-	repeat-index precedence over repeat-item	nothing auto-checkable
H.1	H.1	H. Complete XForms Examples	review	-	XForms in XHTML	no message observed (form defines 2)
H.2	H.2	H. Complete XForms Examples	review	-	Editing Hierarchical Bookmarks Using XForms	nothing auto-checkable
H.3	H.3	H. Complete XForms Examples	missing	-	Survey Using XForms and SVG	manifest links a file that does not exist
3.3.1.d1	3.3.1	1. Differences between XForms 1.1 and XForms 1.0	review	-	model element now supports a version attribute	no message observed (form defines 1)
3.3.2.c	3.3.2	1. Differences between XForms 1.1 and XForms 1.0	pass	values	instance element now has a resource attribute	3 quoted value(s) found
11.1.c	11.1	1. Differences between XForms 1.1 and XForms 1.0	check	-	submission element now has a resource attribute	unmatched: white / Acura / Integra / Acura / Integra / white | dump: group '11.1.c resource attribute of submission element'; group '     When you activate the Submit Make And Model trigger the page must be replaced by the form data.      The form data must contain the values "Acura" and "Integra", but not t…
11.6.1.a	11.6.1	1. Differences between XForms 1.1 and XForms 1.0	pass	message	submission element now has a resource element	message 'Unable to submit'
11.9.4.a	11.9.4	1. Differences between XForms 1.1 and XForms 1.0	check	-	submission method attribute now supports delete 	unmatched: blue | dump: group '11.9.4.a delete submission method'; group '        When you activate the Use Delete Method submit control the page must be replaced by the form data. The         value "blue" must appear in the request URI but must not appear in the …
11.7.1.a	11.7.1	1. Differences between XForms 1.1 and XForms 1.0	check	-	submission method element with value attribute	unmatched: post | dump: group '11.7.1.a method element'; group '           When the Submit With Method trigger is activated the page will be replaced by the form data.            The variable on the page for the request method must equal "post".    '; submit 'Subm…
11.8.a	11.8	1. Differences between XForms 1.1 and XForms 1.0	check	-	submission headers can now be added with header element	unmatched: myHeader1 / myHeader2 / myValue1 / myValue2 | dump: group '11.8.a header element of submission element'; group '        When you activate the Submit Now submit control the page must be replaced by the form data. Among the         variables you must see two headers named "myHeader1" and "myHe…
11.11.3.c	11.11.3	1. Differences between XForms 1.1 and XForms 1.0	check	-	special submission header behavior through the mediatype  attribute	unmatched: text/xml / ASCII / http://www.google.com | dump: group '11.11.3.c SOAP HTTP binding'; group '       Activate the Submit SOAP submit control to replace this page with the form data.        The value of the content type header must be "text/xml".        and contain the value "ASCII". The va…
11.1.i	11.1	1. Differences between XForms 1.1 and XForms 1.0	check	-	submission element now supports relevant attribute	unmatched: Suzuki / Hayabusa 1300 / Suzuki / Hayabusa 1300 / 2006-04-26 | dump: group '11.1.i relevant attribute of submission element'; group '     Both submit controls must replace the page with the form data when activated.      When you activate the Submit (relevant=true) submit control you must see the values "Suz…
11.1.h	11.1	1. Differences between XForms 1.1 and XForms 1.0	pass	message	submission element now supports validate attribute	message 'xforms-submit-error'
11.1.t	11.1	1. Differences between XForms 1.1 and XForms 1.0	check	-	submission element now supports target attribute	unmatched: Janel / Saturn / red | dump: group '11.1.t targetref attribute of submission element'; group '      You must see the values "Thomas", "Toyota", and "silver" in the output       controls. When you activate the Replace Instance submit control the values must change to   …
11.10.b	11.10	1. Differences between XForms 1.1 and XForms 1.0	pass	message	submission element now supports replace attribute text setting	message 'xforms-submit-error'
11.3.a	11.3	1. Differences between XForms 1.1 and XForms 1.0	pass	message	submission element now also supports the xforms-submit-serialize event	message 'xforms-submit-serialize'
11.1.j	11.1	1. Differences between XForms 1.1 and XForms 1.0	check	-	serialization attribute of submission element	unmatched: blue | dump: group '11.1.j serialization attribute of submission element'; group '        When you activate the Submit With Serialization submit control the page must be replaced by the form data. The         value "blue" must not appear in the request …
11.4.b	11.4	1. Differences between XForms 1.1 and XForms 1.0	review	-	accessing context information for xforms-submit-done event	nothing auto-checkable
11.5.b	11.5	1. Differences between XForms 1.1 and XForms 1.0	pass	values	accessing context information for xforms-submit-error event	2 quoted value(s) found
5.2.6.a	5.2.6	1. Differences between XForms 1.1 and XForms 1.0	pass	message	email datatype	message 'You entered an invalid email'
5.2.7.a	5.2.7	1. Differences between XForms 1.1 and XForms 1.0	pass	message	card-number datatype	message 'You entered an invalid card-number'
5.2.1.a	5.2.1	1. Differences between XForms 1.1 and XForms 1.0	review	-	XForms datatypes to allow empty content - built-in primitive types	nothing auto-checkable
7.9.1.a	7.9.1	1. Differences between XForms 1.1 and XForms 1.0	review	-	local-date() function	nothing auto-checkable
7.9.2.a	7.9.2	1. Differences between XForms 1.1 and XForms 1.0	review	-	local-dateTime() function	nothing auto-checkable
